# GTAC_scan    Target    Total_beams    uGMRT_band    Input_file (0 for RAW, 1 for FIL)
49_138_20260225_042441    S1_20260225_060141    160    BAND5    1
49_138_20260225_042441    S1_20260225_070502    160    BAND5    1
49_138_20260225_042441    S1_20260225_083744    160    BAND5    1
49_138_20260225_042441    S2_20260225_053011    160    BAND5    1
49_138_20260225_042441    S2_20260225_063332    160    BAND5    1
49_138_20260225_042441    S2_20260225_073631    160    BAND5    1
49_138_20260225_042441    S2_20260225_090204    160    BAND5    1
49_138_20260223_031647    S3_20260223_050327    160    BAND5    1
49_138_20260223_031647    S3_20260223_053956    160    BAND5    1
49_138_20260223_031647    S3_20260223_061649    160    BAND5    1
49_138_20260223_031647    S3_20260223_065340    160    BAND5    1
49_138_20260223_031647    S3_20260223_080433    160    BAND5    1
49_138_20260223_031647    S3_20260223_080724    160    BAND5    1
49_138_20260223_031647    S3_20260223_084416    160    BAND5    1
49_138_20260223_031647    S3_20260223_092130    160    BAND5    1
49_153_20260130_165333    3C48E0_20260130_213405    160    BAND5    0
49_153_20260130_165333    3C48E1_20260130_213520    160    BAND5    0
49_153_20260130_165333    3C48E2_20260130_213635    160    BAND5    0
49_153_20260130_165333    3C48E3_20260130_213812    160    BAND5    0
49_153_20260130_165333    3C48E4_20260130_213917    160    BAND5    0
49_153_20260130_165333    3C48E5_20260130_214032    160    BAND5    0
49_153_20260130_165333    FRB20231229A_20260130_180326    160    BAND5    0
49_153_20260131_155953    FRB20231229A_20260131_170551    160    BAND5    0
49_153_20260131_155953    FRB20231229A_20260131_175400    160    BAND5    0
49_153_20260131_155953    FRB20231229A_20260131_184219    160    BAND5    0
49_153_20260131_155953    FRB20231229A_20260131_193841    160    BAND5    0
49_153_20260131_155953    FRB20231229A_20260131_202711    160    BAND5    0
49_153_20260131_155953    FRB20231229A_20260131_211602    160    BAND5    0
49_153_20260131_155953    FRB20231229A_20260131_220944    160    BAND5    0
49_153_20260227_172309    3C147E1_20260227_173644    160    BAND5    0
49_153_20260227_172309    3C147E3_20260227_173920    160    BAND5    0
49_153_20260227_172309    3C147E5_20260227_174150    160    BAND5    0
49_153_20260227_172309    3C147E6_20260227_174311    160    BAND5    0
49_153_20260227_172309    3C147E8_20260227_174547    160    BAND5    0
